Ref,Val,Package,PosX,PosY,Rot,Side
"C21","100uF","CP_Elec_8x10",-35.700000,-48.550000,90.000000,bottom
"J2","STEPPER","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",-47.625000,-42.545000,90.000000,bottom
"J3","IO_PB10","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-17.125000,-35.765000,0.000000,bottom
"J7","IO_PB6","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-17.165000,-42.640000,0.000000,bottom
"J8","IO_PB7","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-17.189203,-49.543659,0.000000,bottom
"J9","TH0","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-24.000000,-27.490000,90.000000,bottom
"J10","CAN_PORT","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",-35.620000,-18.305000,0.000000,bottom
"J11","FAN0","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-53.500000,-26.000000,-90.000000,bottom
"J12","FAN1","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-53.500000,-34.500000,-90.000000,bottom
"J13","HEAT","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-53.493654,-43.021373,-90.000000,bottom
"J14","PROBE","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-54.454261,-18.997116,180.000000,bottom
"J15","SPI","PinHeader_2x03_P2.54mm_Vertical",-48.265000,-24.780000,180.000000,bottom
"REF**","VoronLogo","VoronLogo",-35.933372,-26.644418,180.000000,bottom
"U2","TMC2209StepStick","TMC2209StepStick",-34.500000,-35.000000,180.000000,bottom
